Year,AHRQ/CCS Condition Category,CCS Category Number,AHRQ Category,Volatility Level,NIPA Dollars,Uncontrolled Dollars,Number of Episodes,Per Capita Index,Medical Care Expenditure Index,Prevalence Index,Per Capita Dollars,Cost Per Case Dollars,Unweighted MEPS Patients,Share MEPS Spending,CCS Chapter Number,CCS Chapter,Chapter Spending (Billions),CCS Category,,Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Other care and screening_AHRQ,0,Other care and screening_AHRQ,NA,1.76279E+11,1.44177E+11,227098102.6,2.919497432,1.851914827,1.576475002,569.838475,776.2218202,4504,NA,NA,NA,NA,NA,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Other care and screening_AHRQ,0,Other care and screening_AHRQ,NA,1.92363E+11,1.55971E+11,238024472.2,3.16222145,1.911438718,1.654367164,617.2142606,808.1650901,4480.5,NA,NA,NA,NA,NA,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Other care and screening_AHRQ,0,Other care and screening_AHRQ,NA,2.03759E+11,1.61691E+11,241851639.8,3.324654571,1.950182879,1.70479118,648.9185672,842.4974021,5026.5,NA,NA,NA,NA,NA,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Other care and screening_AHRQ,0,Other care and screening_AHRQ,NA,2.15103E+11,1.7235E+11,251706878.2,3.485244636,1.99735418,1.744930705,680.2631394,854.5755482,5711,NA,NA,NA,NA,NA,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Other care and screening_AHRQ,0,Other care and screening_AHRQ,NA,2.29214E+11,1.83748E+11,262411009.2,3.686395465,2.042573417,1.804779908,719.5245137,873.4931375,5906.5,NA,NA,NA,NA,NA,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Other care and screening_AHRQ,0,Other care and screening_AHRQ,NA,2.54223E+11,2.08316E+11,273252344,4.058874763,2.223809787,1.82518972,792.2264222,930.3590076,5604,NA,NA,NA,NA,NA,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,       Exam/eval,256,Other care and screening_AHRQ,low,21672945591,16523342107,49547418.9,1,1,1,76.81018005,437.4182566,1354,0.173699842,17,Symptoms; signs; and ill-defined co,80.14,Medical examination/evaluation,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,       Exam/eval,256,Other care and screening_AHRQ,low,24832667868,19735003983,54964762.69,1.134506653,1.076653612,1.053734126,87.14166029,451.7925058,1827,0.173699842,17,Symptoms; signs; and ill-defined co,91.88,Medical examination/evaluation,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,       Exam/eval,256,Other care and screening_AHRQ,low,29712851111,23648198977,61385052.92,1.344926716,1.155203715,1.164233371,103.3040632,484.0404903,2653,0.173699842,17,Symptoms; signs; and ill-defined co,110.6,Medical examination/evaluation,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,       Exam/eval,256,Other care and screening_AHRQ,low,32669344488,25887016273,62970445.49,1.46609473,1.232731154,1.18930614,112.6110002,518.8044047,3034.5,0.173699842,17,Symptoms; signs; and ill-defined co,121.62,Medical examination/evaluation,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,       Exam/eval,256,Other care and screening_AHRQ,low,35557290073,28336250804,66410474.61,1.580996618,1.279466574,1.235668559,121.4366349,535.4168944,3028.5,0.173699842,17,Symptoms; signs; and ill-defined co,139.36,Medical examination/evaluation,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,       Exam/eval,256,Other care and screening_AHRQ,low,37579055225,30089524522,68928007.25,1.655561027,1.309009332,1.264743487,127.1639405,545.1928283,3030,0.173699842,17,Symptoms; signs; and ill-defined co,147.88,Medical examination/evaluation,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,       Exam/eval,256,Other care and screening_AHRQ,low,41474792181,33124456723,71395379.77,1.809655278,1.39123917,1.300750667,138.9999478,580.9170329,3023,0.173699842,17,Symptoms; signs; and ill-defined co,160.31,Medical examination/evaluation,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,       Exam/eval,256,Other care and screening_AHRQ,low,46043400511,36441156888,74223159.1,1.989979698,1.472230673,1.351676564,152.8506989,620.3373862,2957.5,0.173699842,17,Symptoms; signs; and ill-defined co,176.17,Medical examination/evaluation,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,       Exam/eval,256,Other care and screening_AHRQ,low,49782660636,39992596798,75963153.67,2.131334024,1.578700545,1.350055925,163.7081501,655.3527365,3118.5,0.173699842,17,Symptoms; signs; and ill-defined co,186.84,Medical examination/evaluation,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,       Exam/eval,256,Other care and screening_AHRQ,low,53197978110,43494345615,80605691.1,2.257674316,1.618043659,1.395311123,173.4123707,659.9779418,3572,0.173699842,17,Symptoms; signs; and ill-defined co,200.68,Medical examination/evaluation,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,       Exam/eval,256,Other care and screening_AHRQ,low,56652144246,46335436117,82521974.15,2.384240087,1.683708044,1.416065033,183.1339104,686.5098033,3613.5,0.173699842,17,Symptoms; signs; and ill-defined co,210.42,Medical examination/evaluation,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,       Exam/eval,256,Other care and screening_AHRQ,low,62601529615,50758289459,89173628.69,2.615052524,1.706843408,1.532098675,200.8626552,702.0184166,3666.5,0.173699842,17,Symptoms; signs; and ill-defined co,226.58,Medical examination/evaluation,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,       Exam/eval,256,Other care and screening_AHRQ,low,67200567415,53326299798,91156911.46,2.786292788,1.754183366,1.588370317,214.0156507,737.1966244,4123.5,0.173699842,17,Symptoms; signs; and ill-defined co,238.84,Medical examination/evaluation,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,       Exam/eval,256,Other care and screening_AHRQ,low,70226051226,56268405716,94073300.52,2.89141786,1.793582548,1.612090764,222.0903264,746.5035332,4599,0.173699842,17,Symptoms; signs; and ill-defined co,248.63,Medical examination/evaluation,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,       Exam/eval,256,Other care and screening_AHRQ,low,73811736983,59170514360,98733670.07,3.016551111,1.797062595,1.678601024,231.7018339,747.5842529,4696,0.173699842,17,Symptoms; signs; and ill-defined co,263.02,Medical examination/evaluation,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,       Exam/eval,256,Other care and screening_AHRQ,low,81627018432,66887158211,108642700.6,3.311692544,1.846142979,1.793844021,254.3717006,751.3345858,4486.5,0.173699842,17,Symptoms; signs; and ill-defined co,289.88,Medical examination/evaluation,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,       Rehab,254,Other care and screening_AHRQ,low,8233379548,6277086167,1652526.899,1,1,1,29.17957611,4982.29684,1,0.029435228,17,Symptoms; signs; and ill-defined co,80.14,Rehabilitation care; fitting of prostheses; and adjustment of devices,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,       Rehab,254,Other care and screening_AHRQ,low,9011074254,7161275914,2020653.634,1.083677459,0.933015756,1.161478198,31.6212489,4459.484842,2,0.029435228,17,Symptoms; signs; and ill-defined co,91.88,Rehabilitation care; fitting of prostheses; and adjustment of devices,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,       Rehab,254,Other care and screening_AHRQ,low,10956383628,8720090144,2292290.748,1.305453264,1.001478708,1.303525731,38.09257289,4779.665773,3,0.029435228,17,Symptoms; signs; and ill-defined co,110.6,Rehabilitation care; fitting of prostheses; and adjustment of devices,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,       Rehab,254,Other care and screening_AHRQ,low,12695685766,10059994444,2530292.784,1.499745547,1.0466884,1.432848159,43.76193934,5017.476967,4,0.029435228,17,Symptoms; signs; and ill-defined co,121.62,Rehabilitation care; fitting of prostheses; and adjustment of devices,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,       Rehab,254,Other care and screening_AHRQ,low,18005362176,14348800411,3371579.195,2.107385329,1.120398907,1.880924121,61.49261061,5340.334939,4,0.029435228,17,Symptoms; signs; and ill-defined co,139.36,Rehabilitation care; fitting of prostheses; and adjustment of devices,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,       Rehab,254,Other care and screening_AHRQ,low,19000414490,15213619243,3598723.206,2.203445009,1.11294716,1.979828952,64.29559136,5279.765462,4,0.029435228,17,Symptoms; signs; and ill-defined co,147.88,Rehabilitation care; fitting of prostheses; and adjustment of devices,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,       Rehab,254,Other care and screening_AHRQ,low,19845861439,15850191015,3636454.462,2.279404465,1.147484411,1.986436106,66.51205608,5457.475584,3,0.029435228,17,Symptoms; signs; and ill-defined co,160.31,Rehabilitation care; fitting of prostheses; and adjustment of devices,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,       Rehab,254,Other care and screening_AHRQ,low,23230494538,18385829166,3801634.38,2.642892598,1.273219616,2.075755482,77.11848573,6110.659841,1,0.029435228,17,Symptoms; signs; and ill-defined co,176.17,Rehabilitation care; fitting of prostheses; and adjustment of devices,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,       Rehab,254,Other care and screening_AHRQ,low,24655026428,19806465110,3950482.209,2.778553037,1.31991909,2.105093454,81.07699982,6241.01695,1.5,0.029435228,17,Symptoms; signs; and ill-defined co,186.84,Rehabilitation care; fitting of prostheses; and adjustment of devices,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,       Rehab,254,Other care and screening_AHRQ,low,28501235654,23302438138,4381453.626,3.183975075,1.400146862,2.274029362,92.90704306,6504.972571,2,0.029435228,17,Symptoms; signs; and ill-defined co,200.68,Rehabilitation care; fitting of prostheses; and adjustment of devices,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,       Rehab,254,Other care and screening_AHRQ,low,32891871122,26902056637,4787935.353,3.643862811,1.479202567,2.463396759,106.3263722,6869.740023,4.5,0.029435228,17,Symptoms; signs; and ill-defined co,210.42,Rehabilitation care; fitting of prostheses; and adjustment of devices,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,       Rehab,254,Other care and screening_AHRQ,low,37124474321,30101098570,5192536.909,4.082212314,1.526135873,2.6748682,119.1172249,7149.583137,4.5,0.029435228,17,Symptoms; signs; and ill-defined co,226.58,Rehabilitation care; fitting of prostheses; and adjustment of devices,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,       Rehab,254,Other care and screening_AHRQ,low,39703701713,31506452729,5384641.066,4.333358449,1.540398891,2.813140462,126.4455627,7373.509436,6.5,0.029435228,17,Symptoms; signs; and ill-defined co,238.84,Rehabilitation care; fitting of prostheses; and adjustment of devices,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,       Rehab,254,Other care and screening_AHRQ,low,41886780246,33561652747,5613750.267,4.539723404,1.573912911,2.884354892,132.4672046,7461.461278,13.5,0.029435228,17,Symptoms; signs; and ill-defined co,248.63,Rehabilitation care; fitting of prostheses; and adjustment of devices,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,       Rehab,254,Other care and screening_AHRQ,low,45508005384,36481082767,5989429.195,4.895678252,1.60351391,3.053093721,142.8538162,7598.053821,15.5,0.029435228,17,Symptoms; signs; and ill-defined co,263.02,Rehabilitation care; fitting of prostheses; and adjustment of devices,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,       Rehab,254,Other care and screening_AHRQ,low,47472174673,38899851042,6281845.222,5.06984881,1.630238532,3.109881598,147.9360392,7557.043033,13,0.029435228,17,Symptoms; signs; and ill-defined co,289.88,Rehabilitation care; fitting of prostheses; and adjustment of devices,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,       Other screen,258,Other care and screening_AHRQ,low,12121511884,9241378236,28219004.82,1,1,1,42.95934331,429.5513594,12,0.271234089,17,Symptoms; signs; and ill-defined co,80.14,Other screening for suspected conditions (not mental disorders or infectious disease),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,       Other screen,258,Other care and screening_AHRQ,low,15392890756,12233029572,32624282.31,1.257375528,1.144980281,1.098163478,54.01602696,471.8231227,17,0.271234089,17,Symptoms; signs; and ill-defined co,91.88,Other screening for suspected conditions (not mental disorders or infectious disease),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,       Other screen,258,Other care and screening_AHRQ,low,22283522729,17735261333,36467766.68,1.803430005,1.485023659,1.214411631,77.47416871,611.0470906,63.5,0.271234089,17,Symptoms; signs; and ill-defined co,110.6,Other screening for suspected conditions (not mental disorders or infectious disease),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,       Other screen,258,Other care and screening_AHRQ,low,23429211294,18565183463,37095043.97,1.879924597,1.52822853,1.230133164,80.76032617,631.5995019,104.5,0.271234089,17,Symptoms; signs; and ill-defined co,121.62,Other screening for suspected conditions (not mental disorders or infectious disease),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,       Other screen,258,Other care and screening_AHRQ,low,26785572852,21345909902,38933438.81,2.129434933,1.674159592,1.271942617,91.47912635,687.9837402,113.5,0.271234089,17,Symptoms; signs; and ill-defined co,139.36,Other screening for suspected conditions (not mental disorders or infectious disease),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,       Other screen,258,Other care and screening_AHRQ,low,28769704606,23035883341,41028920.62,2.266187756,1.714429878,1.321831697,97.35393783,701.2054954,124.5,0.271234089,17,Symptoms; signs; and ill-defined co,147.88,Other screening for suspected conditions (not mental disorders or infectious disease),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,       Other screen,258,Other care and screening_AHRQ,low,31579713241,25221605452,42686416.43,2.463661102,1.804213711,1.365504035,105.8372631,739.8070835,130,0.271234089,17,Symptoms; signs; and ill-defined co,160.31,Other screening for suspected conditions (not mental disorders or infectious disease),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,       Other screen,258,Other care and screening_AHRQ,low,33780282479,26735483475,44016663.54,2.610391706,1.854709388,1.407439744,112.1407135,767.443049,116,0.271234089,17,Symptoms; signs; and ill-defined co,176.17,Other screening for suspected conditions (not mental disorders or infectious disease),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,       Other screen,258,Other care and screening_AHRQ,low,34691499160,27869204267,44727730.87,2.65556925,1.902622598,1.395741464,114.0815111,775.615004,72,0.271234089,17,Symptoms; signs; and ill-defined co,186.84,Other screening for suspected conditions (not mental disorders or infectious disease),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,       Other screen,258,Other care and screening_AHRQ,low,35487947908,29014731881,45649085,2.692825443,1.940847591,1.387448172,115.6820127,777.4076502,48,0.271234089,17,Symptoms; signs; and ill-defined co,200.68,Other screening for suspected conditions (not mental disorders or infectious disease),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,       Other screen,258,Other care and screening_AHRQ,low,34372437226,28113002437,44636814.48,2.586456091,1.923175798,1.34488802,111.1124552,770.0468241,44,0.271234089,17,Symptoms; signs; and ill-defined co,210.42,Other screening for suspected conditions (not mental disorders or infectious disease),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,       Other screen,258,Other care and screening_AHRQ,low,36409068390,29521036364,46195343.74,2.719356756,1.951364253,1.393566963,116.8217805,788.1545075,52.5,0.271234089,17,Symptoms; signs; and ill-defined co,226.58,Other screening for suspected conditions (not mental disorders or infectious disease),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,       Other screen,258,Other care and screening_AHRQ,low,36468616074,28939284723,45734843.37,2.703548985,1.932170934,1.399228679,116.142689,797.3923902,67.5,0.271234089,17,Symptoms; signs; and ill-defined co,238.84,Other screening for suspected conditions (not mental disorders or infectious disease),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,       Other screen,258,Other care and screening_AHRQ,low,37815400086,30299472022,46181866.25,2.783828387,2.003403969,1.389549202,119.5914394,818.8365511,87.5,0.271234089,17,Symptoms; signs; and ill-defined co,248.63,Other screening for suspected conditions (not mental disorders or infectious disease),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,       Other screen,258,Other care and screening_AHRQ,low,39322694354,31522683872,47283873.38,2.873357603,2.035706152,1.41147955,123.4375557,831.6301424,103,0.271234089,17,Symptoms; signs; and ill-defined co,263.02,Other screening for suspected conditions (not mental disorders or infectious disease),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,       Other screen,258,Other care and screening_AHRQ,low,46402811154,38023588645,51271021.14,3.3660574,2.264571743,1.4863991,144.6036155,905.0494826,99,0.271234089,17,Symptoms; signs; and ill-defined co,289.88,Other screening for suspected conditions (not mental disorders or infectious disease),,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,       Ot aftercare,257,Other care and screening_AHRQ,low,7258721934,5534012221,8964386.169,1,1,1,25.72533283,809.7288311,15,0.10132056,17,Symptoms; signs; and ill-defined co,80.14,Other aftercare,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,       Ot aftercare,257,Other care and screening_AHRQ,low,8230348051,6540817621,10453572.6,1.12268947,1.013555986,1.107673859,28.88156028,787.3239479,19.5,0.10132056,17,Symptoms; signs; and ill-defined co,91.88,Other aftercare,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,       Ot aftercare,257,Other care and screening_AHRQ,low,10092852589,8032813323,11647288.73,1.364036541,1.117180318,1.220963634,35.09029402,866.5409458,22,0.10132056,17,Symptoms; signs; and ill-defined co,110.6,Other aftercare,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,       Ot aftercare,257,Other care and screening_AHRQ,low,11679591039,9254846341,12216765.17,1.564973649,1.227138069,1.275303642,40.25946798,956.029757,23,0.10132056,17,Symptoms; signs; and ill-defined co,121.62,Other aftercare,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,       Ot aftercare,257,Other care and screening_AHRQ,low,14585879199,11623752269,13338241.44,1.936389324,1.411653841,1.371716825,49.81425985,1093.5384,26.5,0.10132056,17,Symptoms; signs; and ill-defined co,139.36,Other aftercare,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,       Ot aftercare,257,Other care and screening_AHRQ,low,16500249784,13211739026,14364678.45,2.17043926,1.489856777,1.456810677,55.83527233,1148.668231,22,0.10132056,17,Symptoms; signs; and ill-defined co,147.88,Other aftercare,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,       Ot aftercare,257,Other care and screening_AHRQ,low,18740665487,14967509908,15197783.26,2.44148705,1.595327129,1.530399004,62.80806694,1233.118355,14.5,0.10132056,17,Symptoms; signs; and ill-defined co,160.31,Other aftercare,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,       Ot aftercare,257,Other care and screening_AHRQ,low,20929433947,16564649387,15877686.14,2.700825457,1.689956314,1.598162884,69.47963379,1318.166499,13,0.10132056,17,Symptoms; signs; and ill-defined co,176.17,Other aftercare,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,       Ot aftercare,257,Other care and screening_AHRQ,low,22647241741,18193523527,16154025.58,2.894986287,1.824385003,1.586828593,74.47448576,1401.956536,15.5,0.10132056,17,Symptoms; signs; and ill-defined co,186.84,Other aftercare,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,       Ot aftercare,257,Other care and screening_AHRQ,low,24577044780,20094043380,16669167.82,3.114250964,1.952692506,1.594849653,80.11514256,1474.401424,17,0.10132056,17,Symptoms; signs; and ill-defined co,200.68,Other aftercare,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,       Ot aftercare,257,Other care and screening_AHRQ,low,26239513347,21461134625,17045269.26,3.297214419,2.039526046,1.616657177,84.82193832,1539.401517,22.5,0.10132056,17,Symptoms; signs; and ill-defined co,210.42,Other aftercare,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,       Ot aftercare,257,Other care and screening_AHRQ,low,27511189844,22306498675,17194543.28,3.431331095,2.101460374,1.632831691,88.27213446,1599.995382,27,0.10132056,17,Symptoms; signs; and ill-defined co,226.58,Other aftercare,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,       Ot aftercare,257,Other care and screening_AHRQ,low,29439874087,23361700830,17281893.34,3.644580439,2.189745188,1.664385637,93.7580448,1703.509767,30,0.10132056,17,Symptoms; signs; and ill-defined co,238.84,Other aftercare,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,       Ot aftercare,257,Other care and screening_AHRQ,low,30876741229,24739893136,17593177.61,3.795787133,2.277896436,1.666356324,97.64788733,1755.040613,38,0.10132056,17,Symptoms; signs; and ill-defined co,248.63,Other aftercare,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,       Ot aftercare,257,Other care and screening_AHRQ,low,33437565177,26804923056,18238340.68,4.080164655,2.380727476,1.713831044,104.9635937,1833.366629,40.5,0.10132056,17,Symptoms; signs; and ill-defined co,263.02,Other aftercare,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,       Ot aftercare,257,Other care and screening_AHRQ,low,40298954421,33021940430,19277129.46,4.881661212,2.774857393,1.759247601,125.5823594,2090.50598,39.5,0.10132056,17,Symptoms; signs; and ill-defined co,289.88,Other aftercare,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,       Immuniz/scrn,10,Other care and screening_AHRQ,low,3449162957,2629624076,24122191.31,1,1,1,12.22403418,142.9871322,262.5,0.073769833,1,Infectious and parasitic diseases,20.31,Immunizations and screening for infectious disease,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,       Immuniz/scrn,10,Other care and screening_AHRQ,low,4637833962,3685776824,28125945.64,1.331383257,1.202112164,1.107536631,16.27487444,164.8952188,331,0.073769833,1,Infectious and parasitic diseases,22.86,Immunizations and screening for infectious disease,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,       Immuniz/scrn,10,Other care and screening_AHRQ,low,5822316938,4633931256,30871257.72,1.655977241,1.37695058,1.202641013,20.2427224,188.5999265,462,0.073769833,1,Infectious and parasitic diseases,25.52,Immunizations and screening for infectious disease,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
